Model,Size (MB),Avg Inference (ms),Throughput (FPS),Memory (MB)
mobilenetv3_original,21.009536743164062,16.778664588928223,59.59949879800758,21.009536743164062
mobilenetv2_original,13.50054931640625,17.392888069152832,57.49476429814728,13.50054931640625
efficientnet_original,20.334861755371094,22.73524284362793,43.98457526396173,20.334861755371094
superpoint_original,4.962406158447266,36.63198947906494,27.29854463873704,4.962406158447266
resnet50_original,97.69538116455078,53.88017177581787,18.559703264509878,97.69538116455078
superpoint_mobile,0.0,75.89610576629639,13.17590658839937,0.0
mobilenetv3_mobile,0.0,281.5251064300537,3.552081065453588,0.0
mobilenetv2_mobile,0.0,329.2847537994385,3.0368852139722278,0.0
resnet50_mobile,0.0,389.16160106658936,2.56962659537648,0.0
efficientnet_mobile,0.0,416.16613388061523,2.40288653638229,0.0
